"Symbol","logFC","logCPM","F","PValue","FDR"
"MED22",-1.70422136898296,5.10622892561168,74.7867700750721,2.48285611949355e-05,0.00421567946130159
"BFAR",-1.71457419739366,5.42023452381143,74.3135117089879,2.54106514039745e-05,0.00421567946130159
"KIF18B",-1.2973632716698,5.93673250169527,74.2434847589936,2.54982250685515e-05,0.00421567946130159
"GTPBP2",-1.86319353606292,5.04917749843228,73.8129656829757,2.6044991773345e-05,0.00421567946130159
"ZNF772",-2.97151628375452,2.82637335668141,73.7279932221447,2.61546347714898e-05,0.00421567946130159
"KMT2E",-1.32072989962493,5.63402032762434,73.6963811880275,2.61955721427702e-05,0.00421567946130159
"IPMK",-1.6240093300641,3.88620289423847,73.6320091851909,2.62791814007188e-05,0.00421567946130159
"EGR2",3.95937979633576,4.20693265505748,73.3186353194831,2.66910043826085e-05,0.00421567946130159
"TRIM24",-1.68960549986814,3.96524834610041,73.0689356757777,2.70249387595364e-05,0.00421567946130159
"TRIM26",-1.40035051549711,4.71012333728825,72.8357129648478,2.73415683089965e-05,0.00421567946130159
"ZNF239",-1.69938995043541,3.50495028686805,72.7902671040358,2.74038058241053e-05,0.00421567946130159
"TNFRSF1A",-2.21680534305599,5.68644392559114,72.6215812298907,2.76363734646904e-05,0.00421567946130159
"JUN",3.05877713327431,8.49240074356487,72.557119672014,2.77258981106655e-05,0.00421567946130159
"ZNF594",-2.86724853064657,1.97605598690784,72.5567973791752,2.77263466233171e-05,0.00421567946130159
"USP51",-2.62106804184633,1.53312790882614,72.1977970034709,2.82316262380211e-05,0.00423113005846519
"SMARCAD1",-1.31994069327774,5.78377263934207,72.0328177288495,2.84676878744634e-05,0.00423113005846519
"ZMIZ1",-1.4254784874667,6.1564911977694,71.7345845684537,2.89007136178627e-05,0.00423308169503077
"QRICH1",-1.17310893683909,6.20521616044701,71.5851148450734,2.91208371823254e-05,0.00423308169503077
"MECOM",-1.95553994993348,3.65109355803599,71.0840725368371,2.98741781250321e-05,0.0042953872634557
"CDC7",-1.48991620006125,4.71246092379461,70.0782762794274,3.14614442350913e-05,0.00434611436061298
"GJC1",-1.62816674820245,6.23030478944356,69.7376203079541,3.20228432040615e-05,0.00434611436061298
"SGO1",-1.55695265275613,4.27456542162109,69.5619344849994,3.23172683034975e-05,0.00434611436061298
"RSPRY1",-1.47374247598302,5.23762215260202,69.5327791105858,3.23664555994685e-05,0.00434611436061298
"BMT2",-2.22144170217684,2.68182232960994,69.4732021832285,3.24672577151324e-05,0.00434611436061298
"TMCC1-AS1",-2.57965605559365,1.66803746279962,69.4668928160529,3.24779559180911e-05,0.00434611436061298
"RIPK1",-1.66248060071994,3.99757661180667,69.438083434729,3.25268613320748e-05,0.00434611436061298
"CHD9",-1.47728905549909,5.43431897617564,68.7108711449135,3.37924135637946e-05,0.00434661652916355
"ZNF248",-1.87022060150154,3.67400508690929,68.6425790133728,3.3914398442114e-05,0.00434661652916355
"IER2",3.7755076502603,8.24597805817619,68.4646820928702,3.42347565797921e-05,0.00434661652916355
"ARRB1",-1.54123885101809,3.85291575944644,68.3434978080215,3.44551544999185e-05,0.00434661652916355
"KLHDC8B",-1.53098010639993,4.03998864010415,68.3386433592078,3.44640201882715e-05,0.00434661652916355
"F3",2.28084488121015,3.32715709221291,68.0463903061036,3.50030575878567e-05,0.00434661652916355
"ZNF623",-2.13169589207932,4.20492426690751,68.0174981994418,3.50569175206601e-05,0.00434661652916355
"FAM120B",-1.60149928954707,4.37190580530917,67.6915841665528,3.5671714944542e-05,0.00434661652916355
"TRIM4",-1.44507789852939,3.93402534748789,67.6402409595422,3.57697930959032e-05,0.00434661652916355
"ZNF440",-3.10420487856216,2.20341161906913,67.5143341109995,3.60117370940574e-05,0.00434661652916355
"POLL",-1.82770304604857,3.51216148515038,67.4453667971045,3.61451329156328e-05,0.00434661652916355
"IKBKE",-1.79503188747459,3.73084140664831,67.1709991633415,3.66819689154076e-05,0.00437143319651362
"JADE2",-1.38737160364601,4.77762840890208,66.5712117970292,3.78906855914116e-05,0.00440358419169589
"ASF1A",-1.99374322875019,3.99857805533668,66.4218913205544,3.81993126356133e-05,0.00440358419169589
"TOMM40L",-1.6880795771294,3.09778637543228,66.1925343136298,3.86795126516352e-05,0.00440358419169589
"EXO1",-1.30451181199336,5.23019060601906,66.0772202394859,3.89237945846659e-05,0.00440358419169589
"ATXN2",-1.60080706997598,4.20957361044291,66.0487812881953,3.89843360809256e-05,0.00440358419169589
"C11orf96",5.49094465283862,5.09094618418686,66.0294632039791,3.90255280229003e-05,0.00440358419169589
"GOLPH3L",-1.98742852907467,3.64811011097401,65.7304511156098,3.96701064564415e-05,0.00440358419169589
"CASP8",-1.46083263008573,4.40446663796367,65.6147324177325,3.99231296859263e-05,0.00440358419169589
"ZNF441",-3.05736764217327,1.64318806444013,65.561232059939,4.00407921962138e-05,0.00440358419169589
"RBMXL1",-1.38097492145012,4.7620224079471,65.4527340417011,4.02807444205626e-05,0.00440358419169589
"ZRANB1",-1.2197824172378,5.14065467448975,65.2529826830891,4.0727231678741e-05,0.00441590016923267
